Company,Ticker,Sector,Year,Revenue,Total_Debt,Total_Equity,EBIT,Interest_Expense,Current_Assets,Current_Liabilities,Retained_Earnings,Total_Assets
Apple Inc.,AAPL,Technology,2021,365817,136522,63090,108949,2645,134836,125481,5562,351002
Apple Inc.,AAPL,Technology,2022,394328,132480,50672,119437,,135405,153982,-3068,352755
Apple Inc.,AAPL,Technology,2023,383285,123930,62146,114301,,143566,145308,-214,352583
Apple Inc.,AAPL,Technology,2024,391035,119059,56950,123216,,152987,176392,-19154,364980
Apple Inc.,AAPL,Technology,2025,416161,112377,73733,133050,,147957,165631,-14264,359241
Alphabet Inc.,GOOGL,Technology,2021,257637,28508,251635,78714,346,188143,64254,191484,359268
Alphabet Inc.,GOOGL,Technology,2022,282836,29977,256144,74842,357,164795,69300,195563,365264
Alphabet Inc.,GOOGL,Technology,2023,307394,29787,283379,84293,308,171530,81814,211247,402392
Alphabet Inc.,GOOGL,Technology,2024,350018,30437,325084,112390,268,163711,89122,245084,450256
Alphabet Inc.,GOOGL,Technology,2025,402836,66996,415265,129039,736,206038,102745,324055,595281
Johnson & Johnson,JNJ,Healthcare,2021,78740,34751,74023,21555,183,60979,45226,57055,333779
Johnson & Johnson,JNJ,Healthcare,2022,79990,40742,76804,22181,276,55294,55802,84281,364840
Johnson & Johnson,JNJ,Healthcare,2023,85159,30432,68774,23664,772,53495,46282,118848,411976
Johnson & Johnson,JNJ,Healthcare,2024,88821,37834,71490,22601,755,55893,50321,173144,512163
Johnson & Johnson,JNJ,Healthcare,2025,94193,49333,81544,26333,971,55624,54126,237731,619003
Microsoft Corporation,MSFT,Technology,2021,168088,82278,141988,69916,2330,184406,88657,123060,182018
Microsoft Corporation,MSFT,Technology,2022,198270,78400,166542,83383,2047,169684,95082,128345,187378
Microsoft Corporation,MSFT,Technology,2023,211915,79441,206223,88523,1995,184257,104149,153843,167558
Microsoft Corporation,MSFT,Technology,2024,245122,97852,268477,109433,2983,159734,125286,155791,180104
Microsoft Corporation,MSFT,Technology,2025,281724,112184,343479,128528,2425,191131,141218,168978,199210
UnitedHealth Group Incorporated,UNH,Healthcare,2021,287597,46003,76479,23970,1660,,,77134,212206
UnitedHealth Group Incorporated,UNH,Healthcare,2022,324162,57623,86347,28435,2092,,,86156,245705
UnitedHealth Group Incorporated,UNH,Healthcare,2023,371622,62537,98919,32358,3246,,,95774,273720
UnitedHealth Group Incorporated,UNH,Healthcare,2024,400278,76904,102591,32287,3906,,,96036,298278
UnitedHealth Group Incorporated,UNH,Healthcare,2025,447567,83004,101698,18964,4002,,,95603,309581
The Boeing Company,BA,Industrials,2021,62286,59641,-14846,-473,2714,108666,81992,34408,138552
The Boeing Company,BA,Industrials,2022,66608,58582,-15848,-817,2561,109523,90052,29473,137100
The Boeing Company,BA,Industrials,2023,77794,54121,-17228,780,2459,109275,95827,27251,137012
The Boeing Company,BA,Industrials,2024,66517,55958,-3914,-10019,2725,127998,97078,15362,156363
The Boeing Company,BA,Industrials,2025,89463,56365,5457,-5191,2771,128459,108115,17252,168235
General Electric Company,GE,Industrials,2021,56469,38033,41612,-70,1790,66348,51953,85110,198874
General Electric Company,GE,Industrials,2022,29139,26148,34912,3981,1339,58384,49428,82983,188851
General Electric Company,GE,Industrials,2023,35348,21764,28605,6245,1029,42556,32103,86553,173300
General Electric Company,GE,Industrials,2024,38702,20378,19565,7757,986,37635,34392,80488,123140
General Electric Company,GE,Industrials,2025,45855,21557,18898,9483,843,40596,38980,87663,130169
BP p.l.c.,BP,Energy,2021,156431,69787,90439,12639,1821,92590,80287,51815,287272
BP p.l.c.,BP,Energy,2022,239067,55493,82990,40844,1851,107688,99018,34732,288120
BP p.l.c.,BP,Energy,2023,208351,63075,85493,30097,2964,104146,86078,35339,280294
BP p.l.c.,BP,Energy,2024,187386,71547,78318,10448,3569,102834,82241,22531,282228
BP p.l.c.,BP,Energy,2025,187637,72529,74000,14446,3981,101786,80581,13971,278526
ExxonMobil Holdings Corporation,XOM,Energy,2021,277140,53029,175683,24881,947,59154,56643,392059,338923
ExxonMobil Holdings Corporation,XOM,Energy,2022,398675,46918,202473,68046,798,97631,69045,432860,369067
ExxonMobil Holdings Corporation,XOM,Energy,2023,334697,47709,212538,47047,849,96609,65316,453927,376317
ExxonMobil Holdings Corporation,XOM,Energy,2024,339247,48309,270606,40139,996,91990,70307,470903,453475
ExxonMobil Holdings Corporation,XOM,Energy,2025,323905,50487,266626,35393,603,83382,72330,482494,448980
JD Sports Fashion Plc,JD,Consumer Discretionary,2021,6167,2099,1496,486,63,1919,1555,2141,7080
JD Sports Fashion Plc,JD,Consumer Discretionary,2022,8563,2371,2340,1018,68,2677,1887,2565,9490
JD Sports Fashion Plc,JD,Consumer Discretionary,2023,10125,2497,2631,914,77,3436,2354,2445,10042
JD Sports Fashion Plc,JD,Consumer Discretionary,2024,10542,2614,2869,941,102,3044,1997,2799,10174
JD Sports Fashion Plc,JD,Consumer Discretionary,2025,11458,3738,3372,1060,153,3141,2432,3273,12379
"NIKE, Inc.",NKE,Consumer Discretionary,2021,44538,12813,12767,7231,296,26291,9674,3179,37740
"NIKE, Inc.",NKE,Consumer Discretionary,2022,46710,12627,15281,6675,299,28213,10730,3476,40321
"NIKE, Inc.",NKE,Consumer Discretionary,2023,51217,12144,14004,5915,291,25202,9256,1358,37531
"NIKE, Inc.",NKE,Consumer Discretionary,2024,51362,11983,14430,6754,269,25382,10593,965,38110
"NIKE, Inc.",NKE,Consumer Discretionary,2025,46309,11016,13213,3702,297,23362,10566,-727,36579
Tesco PLC,TSCO,Consumer Staples,2021,57887,15670,12059,1789,701,10807,15997,4511,63378
Tesco PLC,TSCO,Consumer Staples,2022,61344,15357,15644,2870,652,12189,16139,9296,66181
Tesco PLC,TSCO,Consumer Staples,2023,65322,15078,12225,2595,709,12469,17610,4144,54797
Tesco PLC,TSCO,Consumer Staples,2024,68187,14841,11665,2819,807,16606,20472,3713,59613
Tesco PLC,TSCO,Consumer Staples,2025,69916,14666,11662,3013,769,8856,13820,3710,49163
The Coca-Cola Company,KO,Consumer Staples,2021,38655,44246,24860,11433,1597,22545,19950,69094,94354
The Coca-Cola Company,KO,Consumer Staples,2022,43004,42279,25826,12341,882,22591,19724,71019,92763
The Coca-Cola Company,KO,Consumer Staples,2023,45754,44539,27480,13246,1527,26732,23571,73782,97703
The Coca-Cola Company,KO,Consumer Staples,2024,47061,46657,26372,14292,1656,25997,25249,76054,100549
The Coca-Cola Company,KO,Consumer Staples,2025,47941,47914,34275,15028,1654,31044,21281,80382,104816
The Procter & Gamble Company,PG,Consumer Staples,2021,76118,32838,46654,18483,502,23091,33132,105368,119307
The Procter & Gamble Company,PG,Consumer Staples,2022,80187,32293,46854,18445,439,21653,33081,111513,117208
The Procter & Gamble Company,PG,Consumer Staples,2023,82006,36500,47065,18737,756,22648,35756,117349,120829
The Procter & Gamble Company,PG,Consumer Staples,2024,84039,33725,50558,20545,925,24709,33627,123074,122370
The Procter & Gamble Company,PG,Consumer Staples,2025,84284,36526,52284,21608,907,25392,36058,129301,125231
Pfizer Inc. ,PFE,Healthcare,2021,81288,41395,77463,26980,1291,59693,42671,103394,181476
Pfizer Inc. ,PFE,Healthcare,2022,101175,39377,95917,39843,1238,51259,42138,125656,197205
Pfizer Inc. ,PFE,Healthcare,2023,59554,75332,89288,6317,2209,43333,47794,118353,226501
Pfizer Inc. ,PFE,Healthcare,2024,63627,67418,88497,15557,3091,50358,42995,116725,213396
Pfizer Inc. ,PFE,Healthcare,2025,62579,67647,86775,19164,2671,42898,36984,114610,208160
